Year,Month,Carrier,Arr Flights,Arr Del15,Carrier Ct,Weather Ct,Nas Ct,Security Ct,Late Aircraft Ct,Arr Cancelled,Arr Diverted,Carrier Delay,Weather Delay,Nas Delay,Security Delay,Late Aircraft Delay,Total Delay,Cancellation Rate,Actual Delay,Predicted Delay,Airport Name,IATA Code
2025,1,1,100.0,27.0,8.47,1.56,8.6,0.0,8.36,7.0,0.0,860.0,148.0,422.0,0.0,867.0,2297.0,0.07,2297.0,2158.865,"Fayetteville, AR: Northwest Arkansas National",XNA
2025,1,15,190.0,57.0,5.82,3.01,24.7,0.0,23.48,6.0,0.0,226.0,192.0,1340.0,0.0,1381.0,3139.0,0.031578947368421,3139.0,4322.12,"Las Vegas, NV: Harry Reid International",LAS
2025,1,13,129.0,30.0,18.16,5.0,4.28,0.0,2.55,15.0,2.0,1162.0,724.0,224.0,0.0,56.0,2166.0,0.1162790697674418,2166.0,2413.755,"Kansas City, MO: Kansas City International",MCI
2025,1,13,68.0,17.0,11.63,1.98,1.53,0.0,1.86,4.0,3.0,873.0,241.0,87.0,0.0,124.0,1325.0,0.0588235294117647,1325.0,1446.985,"Brownsville, TX: Brownsville South Padre Island International",BRO
2025,1,6,29.0,12.0,2.87,0.0,3.08,0.0,6.04,0.0,0.0,299.0,0.0,199.0,0.0,878.0,1376.0,0.0,1376.0,1091.175,"Jacksonville, FL: Jacksonville International",JAX
2025,1,16,210.0,37.0,17.52,0.0,7.1,0.0,12.38,4.0,0.0,627.0,0.0,277.0,0.0,858.0,1762.0,0.019047619047619,1762.0,2012.735,"Detroit, MI: Detroit Metro Wayne County",DTW
2025,1,4,59.0,18.0,5.79,0.53,8.31,0.0,3.36,4.0,0.0,465.0,156.0,451.0,0.0,442.0,1514.0,0.0677966101694915,1514.0,1391.445,"Greer, SC: Greenville-Spartanburg International",GSP
2025,1,12,107.0,36.0,11.8,0.5,7.47,0.61,15.62,12.0,0.0,715.0,32.0,305.0,42.0,1401.0,2495.0,0.1121495327102803,2495.0,2321.93,"Tulsa, OK: Tulsa International",TUL
2025,1,5,222.0,40.0,18.61,3.32,10.49,0.0,7.58,24.0,0.0,578.0,445.0,348.0,0.0,292.0,1663.0,0.1081081081081081,1663.0,2456.5,"Savannah, GA: Savannah/Hilton Head International",SAV
2025,1,13,2135.0,338.0,161.32,66.83,48.11,1.0,60.74,23.0,13.0,10386.0,7214.0,2841.0,42.0,3701.0,24184.0,0.0107728337236533,24184.0,29396.795,"Seattle, WA: Seattle/Tacoma International",SEA
2025,1,6,84.0,21.0,7.27,0.65,5.04,0.0,8.03,0.0,0.0,424.0,36.0,169.0,0.0,429.0,1058.0,0.0,1058.0,1095.8,"Minneapolis, MN: Minneapolis-St Paul International",MSP
2025,1,2,333.0,53.0,14.78,5.53,15.27,0.0,17.42,11.0,1.0,1262.0,557.0,460.0,0.0,878.0,3157.0,0.033033033033033,3157.0,3400.48,"Juneau, AK: Juneau International",JNU
2025,1,17,505.0,18.0,5.55,0.0,4.24,0.0,8.21,10.0,0.0,474.0,0.0,512.0,0.0,373.0,1359.0,0.0198019801980198,1359.0,1791.055,"Kahului, HI: Kahului Airport",OGG
2025,1,14,61.0,13.0,3.39,2.07,3.8,0.0,3.74,1.0,0.0,219.0,142.0,126.0,0.0,122.0,609.0,0.0163934426229508,609.0,853.39,"Grand Rapids, MI: Gerald R. Ford International",GRR
2025,1,13,262.0,88.0,50.06,8.32,11.91,0.0,17.7,7.0,0.0,3910.0,578.0,1198.0,0.0,1479.0,7165.0,0.0267175572519083,7165.0,6708.485,"Fort Wayne, IN: Fort Wayne International",FWA
2025,1,5,121.0,18.0,9.02,0.0,6.3,0.0,2.68,4.0,1.0,746.0,0.0,250.0,0.0,179.0,1175.0,0.0330578512396694,1175.0,1257.64,"Kahului, HI: Kahului Airport",OGG
2025,1,1,520.0,102.0,35.29,3.77,32.38,0.0,30.57,45.0,1.0,1900.0,256.0,1818.0,0.0,2818.0,6792.0,0.0865384615384615,6792.0,6690.36,"New Orleans, LA: Louis Armstrong New Orleans International",MSY
2025,1,8,47.0,9.0,3.1,0.0,2.5,0.0,3.4,1.0,0.0,323.0,0.0,86.0,0.0,501.0,910.0,0.0212765957446808,910.0,755.11,"Burlington, VT: Burlington International",BTV
2025,1,8,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,770.985,"New York, NY: LaGuardia",LGA
2025,1,19,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.085,"Tampa, FL: Tampa International",TPA
2025,1,1,573.0,129.0,48.58,7.46,34.24,0.33,38.39,48.0,0.0,2798.0,555.0,1642.0,9.0,2778.0,7782.0,0.0837696335078534,7782.0,9007.39,"Houston, TX: George Bush Intercontinental/Houston",IAH
2025,1,18,159.0,19.0,7.25,0.83,3.44,0.0,7.48,7.0,0.0,412.0,100.0,174.0,0.0,971.0,1657.0,0.0440251572327044,1657.0,1446.995,"El Paso, TX: El Paso International",ELP
2025,1,5,31.0,8.0,1.0,0.69,3.86,0.0,2.45,1.0,0.0,16.0,16.0,111.0,0.0,274.0,417.0,0.032258064516129,417.0,500.435,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",
2025,1,12,100.0,36.0,8.85,2.1,6.18,0.0,18.87,10.0,0.0,885.0,64.0,263.0,0.0,2615.0,3827.0,0.1,3827.0,3018.345,"Albany, NY: Albany International",ALB
2025,1,11,78.0,13.0,4.27,0.22,4.73,0.55,3.24,2.0,0.0,106.0,16.0,213.0,16.0,95.0,446.0,0.0256410256410256,446.0,732.945,"Minneapolis, MN: Minneapolis-St Paul International",MSP
2025,1,12,108.0,24.0,8.61,2.26,5.77,0.74,6.62,14.0,0.0,969.0,231.0,129.0,19.0,573.0,1921.0,0.1296296296296296,1921.0,1967.58,"Charleston/Dunbar, WV: West Virginia International Yeager",
2025,1,13,248.0,60.0,26.52,5.31,9.09,0.0,19.08,0.0,0.0,3064.0,411.0,505.0,0.0,1432.0,5412.0,0.0,5412.0,4489.135,"Grand Junction, CO: Grand Junction Regional",
2025,1,3,270.0,60.0,25.26,1.03,11.59,0.0,22.12,3.0,0.0,1251.0,61.0,473.0,0.0,1166.0,2951.0,0.0111111111111111,2951.0,3246.905,"Buffalo, NY: Buffalo Niagara International",
2025,1,5,980.0,269.0,89.25,7.06,123.66,0.0,49.03,15.0,1.0,6394.0,1324.0,6723.0,0.0,3364.0,17805.0,0.0153061224489795,17805.0,17025.95,"Miami, FL: Miami International",MIA
2025,1,7,64.0,13.0,2.82,2.84,2.07,0.0,5.27,2.0,0.0,100.0,376.0,95.0,0.0,331.0,902.0,0.03125,902.0,1037.795,"Akron, OH: Akron-Canton Regional",
2025,1,19,135.0,27.0,11.73,0.58,6.61,0.0,8.07,5.0,0.0,801.0,58.0,267.0,0.0,442.0,1568.0,0.037037037037037,1568.0,1498.855,"Rochester, NY: Frederick Douglass Grtr Rochester International",
2025,1,13,84.0,22.0,14.62,3.73,3.66,0.0,0.0,11.0,0.0,1065.0,464.0,450.0,0.0,0.0,1979.0,0.1309523809523809,1979.0,1883.105,"Evansville, IN: Evansville Regional",
2025,1,17,310.0,65.0,21.19,2.32,21.71,0.0,19.78,1.0,5.0,706.0,348.0,695.0,0.0,666.0,2415.0,0.0032258064516129,2415.0,3666.235,"San Juan, PR: Luis Munoz Marin International",
2025,1,13,29.0,7.0,4.15,1.0,1.22,0.0,0.63,3.0,0.0,210.0,57.0,62.0,0.0,67.0,396.0,0.1034482758620689,396.0,445.63,"Memphis, TN: Memphis International",
2025,1,7,5.0,2.0,1.0,0.0,0.56,0.0,0.44,0.0,0.0,22.0,0.0,14.0,0.0,11.0,47.0,0.0,47.0,164.16,"Rochester, NY: Frederick Douglass Grtr Rochester International",
2025,1,15,79.0,12.0,4.62,1.0,4.11,0.0,2.27,1.0,0.0,190.0,20.0,100.0,0.0,102.0,412.0,0.0126582278481012,412.0,583.505,"Missoula, MT: Missoula Montana",
2025,1,0,26.0,6.0,2.84,0.0,0.45,0.0,2.71,0.0,0.0,104.0,0.0,9.0,0.0,193.0,306.0,0.0,306.0,345.475,"Duluth, MN: Duluth International",
2025,1,13,54.0,14.0,8.61,0.0,1.93,0.0,3.46,4.0,0.0,596.0,0.0,133.0,0.0,186.0,915.0,0.074074074074074,915.0,918.925,"Hays, KS: Hays Regional",
2025,1,10,93.0,18.0,8.16,0.17,4.47,0.0,5.21,5.0,0.0,429.0,14.0,167.0,0.0,226.0,836.0,0.053763440860215,836.0,973.36,"Monroe, LA: Monroe Regional",
2025,1,5,187.0,18.0,5.76,5.05,3.95,0.0,3.24,3.0,0.0,462.0,769.0,213.0,0.0,116.0,1560.0,0.0160427807486631,1560.0,1630.375,"Grand Rapids, MI: Gerald R. Ford International",GRR
2025,1,1,12.0,6.0,0.8,0.29,0.17,0.0,4.74,0.0,0.0,76.0,16.0,15.0,0.0,522.0,629.0,0.0,629.0,607.525,"Columbia, SC: Columbia Metropolitan",
2025,1,16,118.0,21.0,8.67,0.0,4.91,0.0,7.42,1.0,0.0,477.0,0.0,284.0,0.0,670.0,1431.0,0.0084745762711864,1431.0,1359.76,"Montrose/Delta, CO: Montrose Regional",
2025,1,12,68.0,22.0,4.06,0.91,6.86,0.0,10.16,6.0,0.0,203.0,142.0,298.0,0.0,714.0,1357.0,0.088235294117647,1357.0,1433.23,"Milwaukee, WI: General Mitchell International",
2025,1,19,164.0,19.0,9.24,0.0,5.35,0.0,4.41,3.0,1.0,324.0,0.0,241.0,0.0,136.0,701.0,0.0182926829268292,701.0,916.46,"Milwaukee, WI: General Mitchell International",
